design/resource,"default_1,1,1","default_1,8,1","default_1,32,1","default_1,128,1","default_1,-1,1","default_8,1,1","default_8,8,1","default_8,32,1","default_8,128,1","default_8,-1,1","default_32,1,1","default_32,8,1","default_32,32,1","default_32,128,1","default_32,-1,1","default_128,1,1","default_128,8,1","default_128,32,1","default_128,128,1","default_128,-1,1","default_-1,1,1","default_-1,8,1","default_-1,32,1","default_-1,128,1","default_-1,-1,1"
most-synthetic-results_32-500_synth-results_json_registers,1002,128,34,10,4,1002,128,34,10,4,1002,128,34,10,4,1002,128,34,10,4,1002,128,34,10,4
most-synthetic-results_32-500_synth-results_json_lut,3147,3540,148,3186,2024,3754,319,102,53,35,3882,293,107,53,34,4541,305,104,50,36,4080,303,105,53,39
most-synthetic-results_32-500_synth-results_json_cell_lut1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
most-synthetic-results_32-500_synth-results_json_cell_lut2,23,222,8,256,49,100,5,7,4,4,88,5,8,4,4,80,7,8,4,2,80,7,8,4,2
most-synthetic-results_32-500_synth-results_json_cell_lut3,724,257,11,220,237,209,7,4,6,4,208,8,12,6,4,159,8,5,7,5,186,8,8,6,6
most-synthetic-results_32-500_synth-results_json_cell_lut4,730,276,21,316,236,534,85,9,2,6,486,79,10,2,5,450,51,12,1,8,681,50,12,2,5
most-synthetic-results_32-500_synth-results_json_cell_lut5,615,642,74,626,245,872,67,26,16,16,899,38,19,16,14,1069,44,27,17,14,993,42,26,16,14
most-synthetic-results_32-500_synth-results_json_cell_lut6,1853,2486,83,2175,1570,2396,187,73,34,18,2484,190,77,34,18,3068,227,70,31,19,2469,226,71,34,21
most-synthetic-results_32-500_synth-results_json_cell_fdre,1035,179,42,128,36,1038,136,42,18,12,1051,136,42,18,12,1071,136,42,18,12,1056,136,42,18,12
most-synthetic-results_32-500_synth-results_json_muxes,502,987,991,991,992,1487,1050,994,991,992,1491,1054,1007,991,992,1491,1054,1007,995,992,1491,1054,1007,995,993
most-synthetic-results_32-500_synth-results_json_clb,4182,3719,190,3317,2060,4792,455,144,71,47,4933,429,149,71,46,5613,441,146,68,48,5136,439,147,71,51
most-synthetic-results_32-500_synth-results_json_worst_slack,4.996,3.496,7.524,4.667,4.951,4.776,7.132,7.66,8.41,7.882,4.903,6.936,7.281,8.41,8.597,3.761,6.93,7.656,8.475,8.412,4.067,6.5,7.708,8.41,8.536
