design/resource,"default_1,1,1","default_1,8,1","default_1,32,1","default_1,128,1","default_1,-1,1","default_8,1,1","default_8,8,1","default_8,32,1","default_8,128,1","default_8,-1,1","default_32,1,1","default_32,8,1","default_32,32,1","default_32,128,1","default_32,-1,1","default_128,1,1","default_128,8,1","default_128,32,1","default_128,128,1","default_128,-1,1","default_-1,1,1","default_-1,8,1","default_-1,32,1","default_-1,128,1","default_-1,-1,1"
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_registers,3022,2148,2054,2030,2024,3022,2148,2054,2030,2024,3022,2148,2054,2030,2024,3022,2148,2054,2030,2024,3022,2148,2054,2030,2024
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_carry8,2000,2000,2000,2000,2000,252,252,252,252,252,64,64,64,64,64,16,16,16,16,16,4,4,4,4,4
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_lut,46602,49165,42066,34570,34371,46987,37375,29429,31031,30087,43099,42807,28286,28122,26932,37389,28686,31603,42597,38907,41362,35058,25475,32189,29556
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_cell_lut1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,55,8,-1,-1,-1,35,1,-1,-1,1,22,3,-1,-1,-1
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_cell_lut2,2870,15851,19255,15661,16228,1496,1449,1512,2303,2332,1522,2346,933,1024,1136,1262,4063,1907,6877,3907,2088,2001,158,1248,417
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_cell_lut3,2295,16283,16196,15967,16854,1256,827,923,1039,1037,1489,426,470,411,610,1108,752,652,435,971,2281,491,1206,808,1085
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_cell_lut4,21948,7393,3148,1969,1251,8940,7428,8024,5277,4704,13221,6760,4656,3862,4993,5566,3878,9511,5500,16714,15680,2787,1962,5227,6694
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_cell_lut5,19012,15453,7653,2826,2886,13168,13047,4900,6432,5833,9169,19382,5435,4800,4189,7047,3205,6413,15742,9382,4798,10628,3898,8441,5291
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_cell_lut6,18741,12875,14676,14420,14038,26609,17838,16292,18408,18381,24387,16780,18326,19539,17644,25103,20411,17602,19510,17218,26082,21260,19510,19495,19926
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_cell_fdre,49633,35186,33704,33290,33168,49619,35217,33652,33286,33181,49614,35209,33677,33307,33195,49614,35208,33652,33306,33162,49594,35177,33622,33257,33132
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_muxes,6481,5979,6017,6011,6012,5481,5042,5020,5011,5012,5519,5061,5033,5011,5012,5561,5112,5060,5015,5012,5561,5122,5080,5003,5013
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_clb,98235,86353,77770,69860,69539,96858,72844,63333,64569,63520,92777,78082,62032,61497,60192,87025,63913,65284,75919,72094,90960,70239,59101,65450,62692
synthetic-results_no-cheating_resource_numbers_synthetic_no-cheating_futil_json_worst_slack,0.295,1.632,2.408,2.355,2.05,1.884,0.317,3.078,2.732,1.923,0.75,3.022,1.954,2.14,2.192,1.796,1.91,2.373,2.508,2.159,0.07,1.387,1.374,2.055,2.281
