design/resource,"default_1,1,1","default_1,8,1","default_1,32,1","default_1,128,1","default_1,-1,1","default_8,1,1","default_8,8,1","default_8,32,1","default_8,128,1","default_8,-1,1","default_32,1,1","default_32,8,1","default_32,32,1","default_32,128,1","default_32,-1,1","default_128,1,1","default_128,8,1","default_128,32,1","default_128,128,1","default_128,-1,1","default_-1,1,1","default_-1,8,1","default_-1,32,1","default_-1,128,1","default_-1,-1,1"
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_registers,1002,128,34,10,4,1002,128,34,10,4,1002,128,34,10,4,1002,128,34,10,4,1002,128,34,10,4
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_carry8,2000,2000,2000,2000,2000,252,252,252,252,252,64,64,64,64,64,16,16,16,16,16,4,4,4,4,4
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_lut,33341,30751,31408,30539,31778,16501,6834,3545,3013,3190,13395,2232,4330,4190,4920,14637,1402,5315,269,273,15233,1358,6234,201,124
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_cell_lut1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,3,1,-1
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_cell_lut2,15025,14363,15933,15793,15715,1369,2013,1497,2045,1960,750,9,605,564,645,172,134,171,127,129,852,8,217,5,35
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_cell_lut3,15699,14826,16752,16660,16077,1612,2208,1547,2019,2032,1108,19,654,808,826,388,148,286,133,161,764,17,341,6,35
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_cell_lut4,908,4173,990,689,1017,448,276,480,43,84,674,54,307,263,563,815,30,592,8,8,1057,28,677,10,5
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_cell_lut5,3412,3884,3914,2735,2287,3121,718,1019,143,146,2234,864,551,409,718,2785,370,786,26,10,3014,366,1038,54,26
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_cell_lut6,13708,9900,10318,10859,12516,11547,3888,966,804,950,9822,1371,2994,2940,3154,10917,900,3931,111,113,10841,995,4512,140,61
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_cell_fdre,16646,2180,649,188,127,16572,2138,571,143,44,16557,2090,592,198,89,16575,2090,595,143,44,16578,2094,621,143,44
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_muxes,1505,2976,2980,2980,2981,2602,2165,2109,2106,2107,2512,2075,2028,2012,2013,2488,2051,2004,1992,1989,2482,2045,1998,1986,1984
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_clb,51987,34931,34058,32727,33905,33325,9224,4368,3408,3486,30017,4386,4988,4453,5074,31229,3508,5928,428,333,31819,3456,6859,348,172
synthetic-results_no-const_resource_numbers_synthetic_synthetic-no-const_futil_json_worst_slack,2.739,3.17,3.15,2.71,1.622,3.831,4.227,6.132,5.776,5.534,3.847,6.456,3.828,4.616,4.727,2.86,5.754,3.615,8.084,7.419,2.363,5.191,3.542,7.535,7.853
