setting,"lut_1,1","lut_4,4","lut_-1,-1","dsp_1,1","dsp_4,4","dsp_-1,-1","registers_1,1","registers_4,4","registers_-1,-1","muxes_1,1","muxes_4,4","muxes_-1,-1","clb_registers_1,1","clb_registers_4,4","clb_registers_-1,-1","carry8_1,1","carry8_4,4","carry8_-1,-1","f7_muxes_1,1","f7_muxes_4,4","f7_muxes_-1,-1","f8_muxes_1,1","f8_muxes_4,4","f8_muxes_-1,-1","f9_muxes_1,1","f9_muxes_4,4","f9_muxes_-1,-1","clb_1,1","clb_4,4","clb_-1,-1","meet_timing_1,1","meet_timing_4,4","meet_timing_-1,-1","worst_slack_1,1","worst_slack_4,4","worst_slack_-1,-1","period_1,1","period_4,4","period_-1,-1","frequency_1,1","frequency_4,4","frequency_-1,-1","uram_1,1","uram_4,4","uram_-1,-1","cell_lut1_1,1","cell_lut1_4,4","cell_lut1_-1,-1","cell_lut2_1,1","cell_lut2_4,4","cell_lut2_-1,-1","cell_lut3_1,1","cell_lut3_4,4","cell_lut3_-1,-1","cell_lut4_1,1","cell_lut4_4,4","cell_lut4_-1,-1","cell_lut5_1,1","cell_lut5_4,4","cell_lut5_-1,-1","cell_lut6_1,1","cell_lut6_4,4","cell_lut6_-1,-1","cell_fdre_1,1","cell_fdre_4,4","cell_fdre_-1,-1"
alex_fully-inline,30083,26139,22788,376,100,38,2580,1570,1398,3677,2761,2593,16835,7353,5908,1532,1159,1060,1,0,0,0,0,0,0,0,0,48451,34651,29756,1,1,1,0.363,0.343,2.01,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,591,408,173,6579,11116,8539,3993,5657,5395,5899,3379,3130,10500,4105,3956,9129,9201,8403,16861,7351,5907
alex_default,29085,26859,26824,376,314,314,3372,2741,2741,4327,3907,3907,22905,18493,18493,1522,1372,1372,26,36,36,4,2,2,0,0,0,53542,46762,46727,1,1,1,6.031,6.316,6.505,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,566,518,519,10711,9876,9909,5235,4888,4851,8068,6909,6926,6456,5409,5440,7801,7870,7810,22903,18491,18491
alex_no-infer-share,29082,30120,30145,376,374,374,3372,3202,3202,4327,4297,4293,22905,20987,20987,1522,1527,1527,26,32,32,4,5,5,0,0,0,53539,52671,52696,1,1,1,6.241,6.947,6.267,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,566,564,565,10711,11161,11139,5235,5399,5369,8068,7964,7893,6456,6289,6297,7801,8538,8652,22903,20985,20985
google_fully-inline,119171,114980,101502,770,248,38,9851,5709,4758,18059,14278,14004,56481,21130,13236,5405,5141,4920,0,6,4,0,0,0,0,0,0,181057,141257,119662,1,1,1,0.171,0.087,0.085,26.0,20.0,20.0,38.462,50.0,50.0,-1,-1,-1,501,353,212,37304,36559,41580,17053,23992,27832,36918,22551,12509,18403,27584,15675,48756,39379,39536,56310,21043,13197
google_default,106839,104947,105169,770,824,824,13443,11002,10934,22968,20163,19989,83547,74241,74031,5389,5303,5295,144,152,144,11,21,17,0,0,0,195930,184664,184656,1,1,1,3.315,4.379,4.103,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,1021,834,772,59247,55045,55084,22911,21136,21037,17465,18678,18710,19089,19573,18887,34246,33073,33612,83545,74239,74029
google_no-infer-share,106839,113609,113646,770,884,884,13443,12915,12915,22968,22752,22748,83547,81287,81287,5389,5618,5618,144,161,161,11,18,18,0,0,0,195930,200693,200730,1,1,1,3.315,4.643,4.638,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,1021,992,993,59247,60006,60005,22911,23898,23868,17465,19617,19580,19089,20522,20605,34246,36245,36222,83545,81285,81285
lenet_fully-inline,10372,9312,9602,152,42,38,1110,713,670,1452,1115,1103,6444,3253,2675,542,432,428,0,0,32,0,0,0,0,0,0,17358,12997,12737,1,1,1,6.579,8.511,6.13,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,105,38,35,4774,3750,3758,1455,2054,1939,2282,2016,1375,1442,1586,1279,3364,2776,3758,6444,3253,2675
lenet_default,10523,8327,8290,152,96,96,1446,1017,1017,1700,1439,1439,8842,6068,6068,542,413,413,5,26,26,0,2,2,0,0,0,19912,14836,14799,1,1,1,8.35,8.03,8.851,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,134,90,90,5232,4072,4070,1932,1521,1558,2908,2419,2392,2332,1470,1485,2209,2296,2244,8842,6068,6068
lenet_no-infer-share,10523,11204,11197,152,156,156,1446,1366,1366,1700,1691,1687,8842,8153,8153,542,552,552,5,2,2,0,0,0,0,0,0,19912,19911,19904,1,1,1,8.35,7.492,8.199,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,134,132,132,5232,5004,5030,1932,2073,1988,2908,3032,3081,2332,2466,2549,2209,2584,2497,8842,8153,8153
mobile_fully-inline,86565,74991,71897,392,134,10,6390,3756,3141,12555,10136,9908,35211,12194,6912,3637,3665,3501,0,1,3,0,0,0,0,0,0,125413,90851,82313,1,1,1,0.414,2.179,2.635,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,42,39,101,19380,27812,28563,10859,13547,13119,21953,16259,16289,16040,15327,13814,41820,28189,26940,35084,12194,6912
mobile_default,72337,68394,67838,392,460,460,8750,6698,6418,16268,13472,12844,53980,48675,47787,3547,3492,3460,0,0,1,0,0,0,0,0,0,129864,120561,119086,1,1,1,3.831,5.078,5.194,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,386,195,167,45590,41907,41717,17577,14807,14533,5110,8437,7703,12164,10514,11180,25204,22803,22314,53980,48675,47787
mobile_no-infer-share,72337,76023,76023,392,460,460,8750,8598,8598,16268,16267,16267,53980,54867,54867,3547,3717,3717,0,6,6,0,2,2,0,0,0,129864,134615,134615,1,1,1,3.785,3.098,3.098,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,386,384,384,45590,47057,47057,17577,17496,17496,5110,8027,8027,12164,11903,11903,25204,25410,25410,53980,54867,54867
squeeze_fully-inline,46670,43232,35934,200,76,10,3771,2183,1813,7640,6138,5881,20682,7392,4128,1914,1966,1914,0,0,1,0,0,0,0,0,0,69266,52590,41977,1,1,1,0.164,0.103,3.721,20.0,20.0,14.0,50.0,50.0,71.429,-1,-1,-1,42,46,40,12924,15576,20793,5198,10058,10417,17107,8625,1860,10383,7508,2871,16300,15496,14216,20540,7392,4128
squeeze_default,40872,38506,38504,200,252,252,5229,3743,3743,9842,7681,7681,31231,26529,26529,1914,1890,1890,79,52,52,6,5,5,0,0,0,74102,66982,66980,1,1,1,6.788,6.953,6.716,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,261,125,125,25114,22045,22045,9056,7874,7874,4269,5321,5321,6811,7582,7582,14111,11964,11964,31231,26529,26529
squeeze_no-infer-share,40871,42892,42892,200,252,252,5229,5007,5007,9842,9689,9689,31231,30561,30561,1914,2020,2020,79,47,47,6,6,6,0,0,0,74101,75526,75526,1,1,1,6.733,6.39,6.39,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,261,247,247,25114,25223,25223,9056,9637,9637,4269,5287,5287,6811,7503,7503,14111,13993,13993,31231,30561,30561
vgg_fully-inline,26853,26316,22203,152,46,10,2184,1270,1087,4319,3453,3379,13663,4377,2654,1310,1260,1232,0,0,3,0,0,0,0,0,0,41826,31953,26092,1,1,1,0.16,0.028,5.356,14.0,20.0,14.0,71.429,50.0,71.429,-1,-1,-1,-1,1,1,11761,9528,8841,5294,7272,6099,6016,6260,5614,5831,4771,3708,8160,8125,7281,13663,4377,2654
vgg_default,27337,26295,26295,152,172,172,2994,2266,2266,5473,4610,4610,20366,16639,16639,1310,1249,1249,45,52,52,6,3,3,0,0,0,49064,44238,44238,1,1,1,8.263,8.23,8.23,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,119,53,53,13364,10812,10812,7403,5990,5990,2163,3588,3588,3888,3914,3914,11394,10823,10823,20366,16639,16639
vgg_no-infer-share,27337,29041,29041,152,172,172,2994,2874,2874,5473,5467,5467,20366,18822,18822,1310,1330,1330,45,50,50,6,7,7,0,0,0,49064,49250,49250,1,1,1,8.263,6.366,6.366,14.0,14.0,14.0,71.429,71.429,71.429,-1,-1,-1,119,122,122,13364,13209,13209,7403,7021,7021,2163,3769,3769,3888,4115,4115,11394,11568,11568,20366,18822,18822
