design/resource,"no-infer-share_1,1,1","no-infer-share_8,8,8","no-infer-share_-1,-1,-1","default_1,1,1","default_8,8,8","default_-1,-1,-1","fully-inline_1,1,1","fully-inline_8,8,8","fully-inline_-1,-1,-1"
alex_lut,27075,26269,26206,27081,23800,23663,30100,22888,14984
alex_dsp,376,376,376,376,316,316,376,54,38
alex_registers,2632,2434,2434,2632,2069,2069,2624,1414,1344
alex_muxes,3329,3000,2997,3329,2680,2677,2889,1113,1012
alex_clb_registers,16936,14568,14568,16936,12685,12685,17144,5314,4551
alex_carry8,1522,1172,1172,1522,1017,1017,1550,301,205
alex_f7_muxes,13,11,11,13,11,11,0,60,64
alex_f8_muxes,0,1,1,0,1,1,0,0,0
alex_f9_muxes,0,0,0,0,0,0,0,0,0
alex_clb,45546,42021,41958,45552,37514,37377,48794,28563,19804
alex_meet_timing,1,1,1,1,1,1,1,1,1
alex_worst_slack,2.994,2.962,2.959,3.211,3.231,3.384,3.088,1.936,2.446
alex_period,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
alex_frequency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
alex_uram,-1,-1,-1,-1,-1,-1,-1,-1,-1
alex_cell_lut1,606,588,589,606,537,536,621,386,299
alex_cell_lut2,13549,13501,13456,13549,11089,11176,10676,3531,3055
alex_cell_lut3,6920,5676,5783,6920,4855,5152,4436,2869,2220
alex_cell_lut4,2704,3090,2873,2704,3347,3204,6049,2682,2310
alex_cell_lut5,4769,3785,3821,4769,3757,3679,4459,5429,3204
alex_cell_lut6,8058,8305,8313,8058,7659,7337,11689,11767,7205
alex_cell_fdre,16934,14566,14566,16934,12683,12683,17157,5313,4550
google_lut,100950,99749,99943,100950,92287,91800,108614,93763,41057
google_dsp,770,958,958,770,898,898,770,126,38
google_registers,9993,9229,9229,9993,7704,7704,9981,5116,4544
google_muxes,16133,13591,13584,16133,11898,11891,13074,4479,3099
google_clb_registers,57362,52011,52003,57362,46286,46281,57623,14369,8272
google_carry8,5389,3013,3013,5389,2690,2690,5435,838,209
google_f7_muxes,597,23,4,597,4,4,2,46,1
google_f8_muxes,10,0,0,10,0,0,0,0,0
google_f9_muxes,0,0,0,0,0,0,0,0,0
google_clb,164308,154796,154963,164308,141267,140775,171674,109016,49539
google_meet_timing,1,1,1,1,1,1,1,1,1
google_worst_slack,2.34,1.653,1.337,2.34,1.848,2.276,2.285,0.838,0.67
google_period,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
google_frequency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
google_uram,-1,-1,-1,-1,-1,-1,-1,-1,-1
google_cell_lut1,664,757,760,664,679,704,811,407,313
google_cell_lut2,55489,46031,49841,55489,39827,41603,37200,12916,10248
google_cell_lut3,30747,23841,24263,30747,21210,20727,16289,7842,4105
google_cell_lut4,11436,9122,9083,11436,9374,10151,36605,11226,5184
google_cell_lut5,18812,16623,14039,18812,15911,14136,20658,20783,9471
google_cell_lut6,29538,38456,38523,29538,35956,35959,37815,54694,20968
google_cell_fdre,57360,52009,52001,57360,46284,46279,57698,14366,8128
lenet_lut,10139,9953,9953,10139,7600,7600,9822,8604,6333
lenet_dsp,152,160,160,152,100,100,152,38,38
lenet_registers,1124,1036,1036,1124,759,759,1076,608,596
lenet_muxes,1339,1192,1192,1339,954,954,1115,513,508
lenet_clb_registers,6526,5789,5789,6526,4238,4238,6477,2221,2052
lenet_carry8,542,416,416,542,277,277,542,155,137
lenet_f7_muxes,12,5,5,12,4,4,0,0,0
lenet_f8_muxes,0,1,1,0,1,1,0,0,0
lenet_f9_muxes,0,0,0,0,0,0,0,0,0
lenet_clb,17219,16164,16164,17219,12120,12120,16841,10980,8522
lenet_meet_timing,1,1,1,1,1,1,1,1,1
lenet_worst_slack,4.54,3.842,3.842,4.54,4.558,4.558,3.75,3.871,4.281
lenet_period,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
lenet_frequency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
lenet_uram,-1,-1,-1,-1,-1,-1,-1,-1,-1
lenet_cell_lut1,156,140,140,156,89,89,117,38,44
lenet_cell_lut2,5500,5403,5403,5500,3285,3285,4033,1954,1623
lenet_cell_lut3,2413,1946,1946,2413,1355,1355,1205,1121,1356
lenet_cell_lut4,563,1091,1091,563,883,883,3272,1897,1128
lenet_cell_lut5,1205,1483,1483,1205,1391,1391,1079,1829,1351
lenet_cell_lut6,3773,3226,3226,3773,2899,2899,3329,3610,2316
lenet_cell_fdre,6526,5789,5789,6526,4238,4238,6477,2221,2052
mobile_lut,65836,67394,66663,65838,60378,59970,66123,62293,23679
mobile_dsp,392,528,528,392,528,528,392,70,10
mobile_registers,6488,6128,6128,6488,4436,4436,5992,2917,2533
mobile_muxes,11399,9817,9799,11399,7691,7673,8633,2794,1910
mobile_clb_registers,36006,33895,33892,36006,28181,28180,35489,7730,3543
mobile_carry8,3547,1780,1780,3547,1525,1525,3667,529,58
mobile_f7_muxes,224,0,0,224,2,0,7,23,0
mobile_f8_muxes,12,0,0,12,0,0,0,0,0
mobile_f9_muxes,0,0,0,0,0,0,0,0,0
mobile_clb,105625,103069,102335,105627,90086,89675,105286,70575,27280
mobile_meet_timing,1,1,1,1,1,1,1,1,1
mobile_worst_slack,1.436,2.06,2.057,1.472,2.284,2.242,2.258,1.369,2.548
mobile_period,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mobile_frequency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
mobile_uram,-1,-1,-1,-1,-1,-1,-1,-1,-1
mobile_cell_lut1,76,143,159,76,124,137,36,48,35
mobile_cell_lut2,38733,33721,34076,38733,27702,27540,34815,7722,7219
mobile_cell_lut3,23616,17280,17276,23616,14032,13642,12349,4959,2942
mobile_cell_lut4,5969,5040,4592,5969,4864,5521,18681,8016,3267
mobile_cell_lut5,15378,10186,9534,15378,9560,9201,10588,12023,4520
mobile_cell_lut6,16180,26975,26709,16180,24865,24820,20204,38726,12302
mobile_cell_fdre,36006,33895,33892,36006,28181,28180,35489,7730,3543
squeeze_lut,38421,38125,37090,38422,34113,33763,39209,35424,15683
squeeze_dsp,200,288,288,200,288,288,200,40,10
squeeze_registers,3833,3507,3507,3833,2563,2563,3625,1762,1551
squeeze_muxes,6759,5600,5592,6759,4532,4524,5195,1661,1173
squeeze_clb_registers,21065,18990,18989,21065,15849,15848,20829,4696,2423
squeeze_carry8,1914,931,931,1914,805,805,1934,294,57
squeeze_f7_muxes,137,35,37,137,12,12,0,27,0
squeeze_f8_muxes,11,6,2,11,1,1,0,0,0
squeeze_f9_muxes,0,0,0,0,0,0,0,0,0
squeeze_clb,61548,58087,57049,61549,50780,50429,61972,40441,18163
squeeze_meet_timing,1,1,1,1,1,1,1,1,1
squeeze_worst_slack,4.12,2.684,3.253,4.086,2.866,3.289,3.74,1.481,2.548
squeeze_period,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
squeeze_frequency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
squeeze_uram,-1,-1,-1,-1,-1,-1,-1,-1,-1
squeeze_cell_lut1,64,110,85,64,90,74,38,41,53
squeeze_cell_lut2,19116,17703,17399,19116,14435,14140,19481,5396,4850
squeeze_cell_lut3,13545,8193,8806,13545,6732,7282,6736,2975,1446
squeeze_cell_lut4,3639,3639,3367,3639,3641,3750,9431,4309,2247
squeeze_cell_lut5,9551,6759,6170,9551,6536,6269,5940,8470,3662
squeeze_cell_lut6,10719,15395,15043,10719,13833,13425,13978,19893,7498
squeeze_cell_fdre,21065,18990,18989,21065,15849,15848,20829,4696,2423
vgg_lut,25000,23278,23498,25002,21873,21967,24289,20096,9649
vgg_dsp,152,172,172,152,172,172,152,26,10
vgg_registers,2222,2050,2050,2222,1584,1584,2070,1002,901
vgg_muxes,3854,3294,3281,3854,2816,2803,2954,956,721
vgg_clb_registers,13915,11591,11591,13915,9895,9895,13765,2773,1569
vgg_carry8,1310,646,646,1310,569,569,1310,184,40
vgg_f7_muxes,53,0,0,53,0,0,0,5,0
vgg_f8_muxes,0,0,0,0,0,0,0,0,0
vgg_f9_muxes,0,0,0,0,0,0,0,0,0
vgg_clb,40278,35515,35735,40280,32337,32431,39364,23058,11258
vgg_meet_timing,1,1,1,1,1,1,1,1,1
vgg_worst_slack,4.521,4.336,4.055,4.592,3.752,3.965,4.561,2.465,3.433
vgg_period,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
vgg_frequency,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
vgg_uram,-1,-1,-1,-1,-1,-1,-1,-1,-1
vgg_cell_lut1,13,77,78,13,75,73,3,1,10
vgg_cell_lut2,10831,10416,10703,10831,8714,8918,12209,2985,3200
vgg_cell_lut3,8293,6621,6703,8293,5464,5492,5537,1313,1104
vgg_cell_lut4,2698,2610,2631,2698,2652,2922,5237,2074,1372
