setting,"lut_1,1","lut_4,4","lut_-1,-1","dsp_1,1","dsp_4,4","dsp_-1,-1","registers_1,1","registers_4,4","registers_-1,-1","muxes_1,1","muxes_4,4","muxes_-1,-1","clb_registers_1,1","clb_registers_4,4","clb_registers_-1,-1","carry8_1,1","carry8_4,4","carry8_-1,-1","f7_muxes_1,1","f7_muxes_4,4","f7_muxes_-1,-1","f8_muxes_1,1","f8_muxes_4,4","f8_muxes_-1,-1","f9_muxes_1,1","f9_muxes_4,4","f9_muxes_-1,-1","clb_1,1","clb_4,4","clb_-1,-1","meet_timing_1,1","meet_timing_4,4","meet_timing_-1,-1","worst_slack_1,1","worst_slack_4,4","worst_slack_-1,-1","period_1,1","period_4,4","period_-1,-1","frequency_1,1","frequency_4,4","frequency_-1,-1","uram_1,1","uram_4,4","uram_-1,-1","cell_lut1_1,1","cell_lut1_4,4","cell_lut1_-1,-1","cell_lut2_1,1","cell_lut2_4,4","cell_lut2_-1,-1","cell_lut3_1,1","cell_lut3_4,4","cell_lut3_-1,-1","cell_lut4_1,1","cell_lut4_4,4","cell_lut4_-1,-1","cell_lut5_1,1","cell_lut5_4,4","cell_lut5_-1,-1","cell_lut6_1,1","cell_lut6_4,4","cell_lut6_-1,-1","cell_fdre_1,1","cell_fdre_4,4","cell_fdre_-1,-1"
alex_fully-inline,29015,24451,24217,376,100,38,2664,1654,1482,3251,2617,2545,17083,7518,6060,1536,1162,1063,0,0,0,0,0,0,0,0,0,47634,33131,31340,1,1,1,3.138,2.266,2.249,10.0,10.0,10.0,100.0,100.0,100.0,-1,-1,-1,620,436,301,11082,10196,9787,4654,5153,5118,6691,4717,4695,6059,4148,4221,9108,7876,8543,17123,7515,6138
alex_default,28437,26442,26419,376,314,314,3372,2741,2741,4257,3853,3849,22877,18463,18463,1522,1372,1372,35,19,19,0,1,1,0,0,0,52871,46297,46274,1,1,1,3.568,3.693,3.645,10.0,10.0,10.0,100.0,100.0,100.0,-1,-1,-1,558,517,517,12260,10394,10423,5817,5504,5532,5905,5060,4999,7803,7526,7529,6630,6642,6635,22875,18461,18461
alex_no-infer-share,28437,29479,29504,376,374,374,3372,3202,3202,4257,4253,4248,22877,20960,20960,1522,1527,1527,35,24,24,0,2,2,0,0,0,52871,51992,52017,1,1,1,3.568,3.24,3.469,10.0,10.0,10.0,100.0,100.0,100.0,-1,-1,-1,558,572,572,12260,11691,11718,5817,6232,6241,5905,5557,5571,7803,8881,8935,6630,7042,6976,22875,20958,20958
google_fully-inline,103220,104434,99817,770,248,38,10275,6133,5182,13988,12987,12912,57614,22120,14288,5401,5166,4926,43,12,11,1,0,0,0,0,0,166279,131732,119042,1,1,1,1.797,1.821,1.313,10.0,10.0,10.0,100.0,100.0,100.0,-1,-1,-1,579,383,140,44899,50151,47193,16383,21295,20096,28759,18431,20261,17889,19359,16169,35520,34113,35379,57641,22119,14269
google_default,103858,103007,102622,770,824,824,13443,11002,10934,20610,18617,18468,83427,74130,73908,5389,5303,5295,153,29,34,9,1,1,0,0,0,192836,182470,181860,1,1,1,1.476,1.909,1.642,10.0,10.0,10.0,100.0,100.0,100.0,-1,-1,-1,1013,793,779,61215,55004,54846,29195,27053,27272,11310,11701,11671,21390,26266,26025,28924,27736,27602,83425,74128,73906
google_no-infer-share,103859,110343,110359,770,884,884,13443,12915,12915,20610,20551,20546,83427,81156,81156,5389,5618,5618,153,60,60,9,1,1,0,0,0,192837,197178,197194,1,1,1,1.478,1.609,2.073,10.0,10.0,10.0,100.0,100.0,100.0,-1,-1,-1,1013,987,987,61215,59971,59998,29195,29831,29841,11310,11559,11571,21390,27923,27975,28924,29726,29664,83425,81154,81154
lenet_fully-inline,9965,9165,8646,152,42,38,1140,743,700,1270,1070,1059,6514,3316,2732,542,432,428,0,0,0,0,0,0,0,0,0,17021,12913,11806,1,1,1,4.154,3.964,5.195,10.0,10.0,10.0,100.0,100.0,100.0,-1,-1,-1,105,36,37,2959,3907,4117,1774,1958,2054,3795,2399,1979,1479,1600,1315,3137,2368,2388,6514,3316,2732
lenet_default,10987,8209,8742,152,96,96,1446,1017,1017,1686,1409,1405,8874,6070,6095,542,413,413,7,16,32,0,1,2,0,0,0,20410,14709,15284,1,1,1,4.151,5.132,4.953,10.0,10.0,10.0,100.0,100.0,100.0,-1,-1,-1,130,95,94,3457,4414,3272,2196,1957,2116,3806,1705,1836,2066,1485,2081,3267,2044,2568,8874,6070,6095
lenet_no-infer-share,10987,11550,10925,152,156,156,1446,1366,1366,1686,1679,1674,8874,8185,8157,542,552,552,7,15,11,0,2,1,0,0,0,20410,20304,19646,1,1,1,4.151,4.65,2.809,10.0,10.0,10.0,100.0,100.0,100.0,-1,-1,-1,130,139,135,3457,3505,4833,2196,2087,1864,3806,3938,3636,2066,2368,2091,3267,3400,2576,8874,8185,8157
mobile_fully-inline,68362,68892,69507,392,134,10,6696,4062,3447,9896,9321,9362,35991,12798,7613,3693,3669,3541,0,0,1,0,0,0,0,0,0,108046,85359,80662,1,1,1,2.833,2.483,1.48,10.0,10.0,10.0,100.0,100.0,100.0,-1,-1,-1,101,40,100,33671,35243,31848,10957,13858,13246,23544,14911,13793,9996,11424,12869,21898,21048,25964,35991,12798,7613
