design/resource,"no-infer-share_1,1,1","no-infer-share_32,32,32","no-infer-share_-1,-1,-1","default_1,1,1","default_32,32,32","default_-1,-1,-1","fully-inline_1,1,1","fully-inline_32,32,32","fully-inline_-1,-1,-1"
alex_lut,27075,26206,26206,27075,23663,23663,30102,15694,14984
alex_dsp,376,376,376,376,316,316,376,38,38
alex_registers,2632,2434,2434,2632,2069,2069,2624,1344,1344
google_lut,100950,99952,99943,100950,91800,91800,108614,69689,41068
google_dsp,770,958,958,770,898,898,770,50,38
google_registers,9993,9229,9229,9993,7704,7704,9981,4624,4544
lenet_lut,10139,9953,9955,10139,7600,7600,9822,6350,6333
lenet_dsp,152,160,160,152,100,100,152,38,38
lenet_registers,1124,1036,1036,1124,759,759,1076,596,596
mobile_lut,65836,66663,66663,65838,59970,59970,66130,38777,23685
mobile_dsp,392,528,528,392,528,528,392,20,10
mobile_registers,6488,6128,6128,6488,4436,4436,5992,2592,2533
squeeze_lut,38421,37091,37091,38421,33763,33763,39209,22519,15683
squeeze_dsp,200,288,288,200,288,288,200,10,10
squeeze_registers,3833,3507,3507,3833,2563,2563,3625,1571,1551
vgg_lut,25002,23502,23498,25000,21967,21967,24289,12558,9649
vgg_dsp,152,172,172,152,172,172,152,10,10
vgg_registers,2222,2050,2050,2222,1584,1584,2070,905,901
